Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
13003|2020-12-18 00:00:00|Общество с ограниченной ответственностью «АйТи Лоджистик»|1186658016654||6685146295|№ 725 от 18.12.2020||Сибирский тракт, д. 12, стр. 1, офис 501, г. Екатеринбург, Свердловская обл., 620100
13004|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Краудсорсинговое тестирование»|1167746343159||7730200703|№ 725 от 18.12.2020||ул. Барклая, д. 6, стр. 5, офис 507, г. Москва, 121096
13005|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Си Тех»|1081101000925||1101135528|№ 725 от 18.12.2020||ул. Коммунистическая, 44, А, 16, г. Сыктывкар, Республика Коми, 167001
13006|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Энергоэкспертсервис»|1027739320300||7724244011|№ 725 от 18.12.2020||ш. Каширское, д. 22К3, этаж/пом 8/2, г. Москва, 115201
13007|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Банкон»|1147746123128||7718967750|№ 725 от 18.12.2020||ул. Остоженка, д. 10, г. Москва, 119034
13008|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Рэди Робот»|1167456065303||7449128908|№ 725 от 18.12.2020||ул. Тернопольская, д. 6, пом. 158, раб. место № 10, г. Челябинск, Челябинская обл., 454080
13009|2020-12-18 00:00:00|Общество с ограниченной ответственностью «М1-сервис»|1123123012066||3123303829|№ 725 от 18.12.2020||ул. Волчанская, д. 163А, офис 7, г. Белгород, Белгородская обл., 308009
13010|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Компания ЗИКС»|1147746424121||7735601346|№ 725 от 18.12.2020||пр-т Георгиевский, д. 5, пом. V, к. 8, 9, г. Зеленоград, г. Москва, 124498
13011|2020-12-18 00:00:00|Общество с ограниченной ответственностью «МТ-Инновации»|5187746004122||9731019268|№ 725 от 18.12.2020||ул. Нобеля, д. 7, пом. 128/130, территория Инновационного центра Сколково, г. Москва, 121205
13012|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Мобильное решение»|1181121002754||1101163130|№ 725 от 18.12.2020||ул. Куратова, д. 85, офис 210, г. Сыктывкар, Респ. Коми, 167000
13013|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Гранатум»|1196451004716||6455071969|№ 725 от 18.12.2020||ул. Им. Рахова В.Г., д. 61/71, лит. А1, г. Саратов, Саратовская обл., 410012
13014|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Коннектом»|1177746055277||7725349313|№ 725 от 18.12.2020||б-р Большой, д. 42, стр. 1, этаж 4, пом. 1463, раб. 7, территория Инновационного центра Сколково, г. Москва, 121205
13015|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Датафоритейл»|1207700237524||9724016019|№ 725 от 18.12.2020||пр-д Хлебозаводский, д. 7, стр. 9, офис 801А, г. Москва, 115230
13016|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Независимая Экспертиза Проектов»|5147746135268||7723921013|№ 725 от 18.12.2020||ул. Тверская, д. 19, пом. 1, г. Москва, 125009
13017|2020-12-18 00:00:00|Общество с ограниченной ответственностью «СлаВер»|1202300035365||2308273734|№ 725 от 18.12.2020||ул. Шоссе Нефтяников, д. 22, корп. 1, г. Краснодар, Краснодарский край, 350051
13018|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Айтико»|1187746797655||9715321859|№ 725 от 18.12.2020||ул. Новодмитровская, д. 2, корп. 1, пом. XCII, комн. 1-5, г. Москва, 127015
13019|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Комплексные Аналитические Системы»|1205200042410||5260474516|№ 725 от 18.12.2020||ул. Сеченова, д. 2А, комн. 307, г. Нижний Новгород, Нижегородская обл., 603024
13020|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Софтинг»|1137746247000||7705536080|№ 725 от 18.12.2020||ул. Большая Ордынка, 7, 20, г. Москва, 115035
13021|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Мастер Деливери»|1207700307077||7743345801|№ 725 от 18.12.2020||пр-д Старопетровский, д. 11, корп. 1, эт/ком 4/28, г. Москва, 125130
13022|2020-12-18 00:00:00|Общество с ограниченной ответственностью «ЭКСИКЬЮШН РЗН»|1206200011918||6230118600|№ 725 от 18.12.2020||ул. Новослободская, д. 20А, офис 31, г. Рязань, Рязанская обл., 390000
13023|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Цифровые платежи»|1187746770310||7728442470|№ 725 от 18.12.2020||пр-д Соловьиный, д. 2, эт. 1, пом. 1, ком. 1, РМ4Н, г. Москва, 117593
13024|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Динамические Системы»|1207700283053||9701160489|№ 725 от 18.12.2020||ул. Спартаковская, д. 19, стр. 3А, эт. 1, пом. 118, офис 4И, г. Москва, 105066
13025|2020-12-18 00:00:00|Общество с ограниченной ответственностью «АЛЬТЕР-ИС»|1117746630650||7724800861|№ 725 от 18.12.2020||пр-т Пролетарский, 3, 142, г. Москва, 115522
13026|2020-12-18 00:00:00|Общество с ограниченной ответственностью «ГЛОБАЛЬНЫЕ ИНТЕЛЛЕКТУАЛЬНЫЕ СИСТЕМЫ»|1196658086833||6670489691|№ 725 от 18.12.2020||ул. Конструкторов, стр. 5, пом. 36, г. Екатеринбург, Свердловская обл., 620010
13027|2020-12-18 00:00:00|Общество с ограниченной ответственностью «РЕД ЛАБ»|1167746555393||7751022850|№ 725 от 18.12.2020||ул. Ленинская Слобода, д. 19, ком. 21, эт. 4, г. Москва, 115280
13028|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Максима-X»|1136828000264||6828007729|№ 725 от 18.12.2020||ул. Озерная, 34, г. Рассказово, Тамбовская обл., 393250
13029|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Гудфокаст»|1137746563778||7708792483|№ 725 от 18.12.2020||тер. Инновационного центра «Сколково», б-р Большой, д. 42, стр. 1, эт. 0, пом. 263, рм. 6, г. Москва, 121205
13030|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Научно-производственный центр «Сокол»|1207800143044||7814782127|№ 725 от 18.12.2020||ул. Оптиков, д. 4, корп. 3, стр. 1, пом. 10-Н, ком. 9, г. Санкт-Петербург, 197374
13031|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Глобусмаркет»|5187746023647||7713463678|№ 725 от 18.12.2020||ш. Дмитровское, д. 27, Э. 20, пом. 1Б, K 1,2,3, г. Москва, 127550
13032|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Максиплэйс»|1157746330862||7725269570|№ 725 от 18.12.2020||ш. Варшавкое, д. 28А, эт. 3, оф. 305, г. Москва, 117105
